Date,HomeTeam,AwayTeam,Home team Points,Home team Goal scored,Home team Goal conceded,Home team Shot on target,Home team Red Cards,Away team Points,Away team Goal scored,Away team Goal conceded,Away team Shot on target,Away team Red Cards,Home team Points H2H,Home team Goal scored H2H,Home Team Red Cards H2H,Home Team Shot on Target H2H,Away team Points H2H,Away team Goal scored H2H,Away Team Red Cards H2H,Away Team Shot on Target H2H
5/8/2022,Crystal Palace,Arsenal,483,482,589,1620,17,1683,1625,927,5933,78,15,21,0,47,18,16,2,58
6/8/2022,Fulham,Liverpool,623,613,790,2895,41,1697,1625,826,6122,46,16,19,3,81,25,26,4,102
6/8/2022,Bournemouth,Aston Villa,181,196,261,610,9,965,963,1100,3945,52,3,2,1,8,3,2,0,8
6/8/2022,Leeds,Wolves,387,403,507,1515,25,392,358,513,1572,20,6,7,0,22,6,5,0,20
6/8/2022,Newcastle,Nottingham,1026,988,1180,4168,73,,,,,,,,,,,,,
6/8/2022,Tottenham,Southampton,1458,1406,1055,5576,58,733,733,890,2983,42,34,36,1,93,16,24,1,104
6/8/2022,Everton,Chelsea,1226,1147,1146,4676,84,1750,1634,779,5952,63,37,26,3,108,28,25,2,148
7/8/2022,Leicester,Brentford,616,664,667,2045,35,138,144,168,462,9,9,6,0,12,0,3,0,18
7/8/2022,Man United,Brighton,1746,1611,861,6038,53,282,250,292,871,18,18,12,0,43,0,2,3,16
7/8/2022,West Ham,Man City,961,980,1115,3762,59,1542,1591,878,5516,63,20,21,0,74,32,38,0,120
13/08/2022,Aston Villa,Everton,965,963,1100,3945,52,1226,1147,1146,4676,84,37,36,1,108,19,23,0,105
13/08/2022,Arsenal,Leicester,1683,1625,927,5933,78,616,664,667,2045,35,33,30,1,98,3,9,2,29
13/08/2022,Brighton,Newcastle,282,250,292,871,18,1026,988,1180,4168,73,9,7,3,24,3,3,0,9
13/08/2022,Man City,Bournemouth,1542,1591,878,5516,63,181,196,261,610,9,12,16,1,34,0,2,0,5
13/08/2022,Southampton,Leeds,733,733,890,2983,42,387,403,507,1515,25,18,9,1,40,6,6,1,28
13/08/2022,Wolves,Fulham,392,358,513,1572,20,623,613,790,2895,41,13,8,0,29,1,3,0,17
13/08/2022,Brentford,Man United,138,144,168,462,9,1746,1611,861,6038,53,0,3,0,24,9,9,0,15
14/08/2022,Nottingham,West Ham,,,,,,961,980,1115,3762,59,,,,,,,,
14/08/2022,Chelsea,Tottenham,1750,1634,779,5952,63,1458,1406,1055,5576,58,49,43,0,157,10,14,2,86
15/08/2022,Liverpool,Crystal Palace,1697,1625,826,6122,46,483,482,589,1620,17,21,21,0,68,9,10,0,30
20/08/2022,Tottenham,Wolves,1458,1406,1055,5576,58,392,358,513,1572,20,10,11,0,75,13,11,0,40
20/08/2022,Crystal Palace,Aston Villa,483,482,589,1620,17,965,963,1100,3945,52,15,12,0,46,12,10,1,31
20/08/2022,Everton,Nottingham,1226,1147,1146,4676,84,,,,,,,,,,,,,
20/08/2022,Fulham,Brentford,623,613,790,2895,41,138,144,168,462,9,,,,,,,,
20/08/2022,Leicester,Southampton,616,664,667,2045,35,733,733,890,2983,42,24,21,0,56,9,11,0,51
20/08/2022,Bournemouth,Arsenal,181,196,261,610,9,1683,1625,927,5933,78,5,7,1,24,8,9,0,18
21/08/2022,Leeds,Chelsea,387,403,507,1515,25,1750,1634,779,5952,63,9,5,3,33,12,10,0,45
21/08/2022,West Ham,Brighton,961,980,1115,3762,59,282,250,292,871,18,5,8,0,30,8,11,0,24
21/08/2022,Newcastle,Man City,1026,988,1180,4168,73,1542,1591,878,5516,63,15,20,1,106,42,41,0,122
22/08/2022,Man United,Liverpool,1746,1611,861,6038,53,1697,1625,826,6122,46,38,34,6,125,29,39,2,115
27/08/2022,Southampton,Man United,733,733,890,2983,42,1746,1611,861,6038,53,13,19,1,77,31,27,0,90
27/08/2022,Brentford,Everton,138,144,168,462,9,1226,1147,1146,4676,84,9,3,0,12,0,0,0,15
27/08/2022,Brighton,Leeds,282,250,292,871,18,387,403,507,1515,25,6,2,0,17,3,0,0,14
27/08/2022,Chelsea,Leicester,1750,1634,779,5952,63,616,664,667,2045,35,21,16,1,86,9,9,3,27
27/08/2022,Liverpool,Bournemouth,1697,1625,826,6122,46,181,196,261,610,9,7,6,0,17,1,2,0,5
27/08/2022,Man City,Crystal Palace,1542,1591,878,5516,63,483,482,589,1620,17,22,27,3,62,10,9,0,24
27/08/2022,Arsenal,Fulham,1683,1625,927,5933,78,623,613,790,2895,41,32,30,0,132,5,11,0,47
28/08/2022,Aston Villa,West Ham,965,963,1100,3945,52,961,980,1115,3762,59,26,23,3,101,23,26,1,94
28/08/2022,Wolves,Newcastle,392,358,513,1572,20,1026,988,1180,4168,73,13,11,0,34,7,9,0,25
28/08/2022,Nottingham,Tottenham,,,,,,1458,1406,1055,5576,58,,,,,,,,
30/08/2022,Crystal Palace,Brentford,483,482,589,1620,17,138,144,168,462,9,3,0,0,6,3,0,0,9
30/08/2022,Fulham,Brighton,623,613,790,2895,41,282,250,292,871,18,1,0,0,4,1,0,0,4
30/08/2022,Southampton,Chelsea,733,733,890,2983,42,1750,1634,779,5952,63,9,13,1,50,39,47,0,105
30/08/2022,Leeds,Everton,387,403,507,1515,25,1226,1147,1146,4676,84,10,13,0,46,10,12,0,50
31/08/2022,Arsenal,Aston Villa,1683,1625,927,5933,78,965,963,1100,3945,52,47,50,2,195,14,22,1,83
31/08/2022,Bournemouth,Wolves,181,196,261,610,9,392,358,513,1572,20,0,1,1,2,3,2,0,7
31/08/2022,Man City,Nottingham,1542,1591,878,5516,63,,,,,,,,,,,,,
31/08/2022,West Ham,Tottenham,961,980,1115,3762,59,1458,1406,1055,5576,58,32,25,1,123,29,23,3,122
31/08/2022,Liverpool,Newcastle,1697,1625,826,6122,46,1026,988,1180,4168,73,53,50,0,166,5,14,7,63
1/9/2022,Leicester,Man United,616,664,667,2045,35,1746,1611,861,6038,53,15,23,1,58,15,25,1,62
3/9/2022,Everton,Liverpool,1226,1147,1146,4676,84,1697,1625,826,6122,46,15,23,10,94,45,43,0,137
3/9/2022,Brentford,Leeds,138,144,168,462,9,387,403,507,1515,25,0,3,3,15,9,6,0,18
3/9/2022,Chelsea,West Ham,1750,1634,779,5952,63,961,980,1115,3762,59,46,40,1,168,10,14,4,68
3/9/2022,Newcastle,Crystal Palace,1026,988,1180,4168,73,483,482,589,1620,17,23,11,0,48,5,5,0,27
3/9/2022,Nottingham,Bournemouth,,,,,,181,196,261,610,9,,,,,,,,
3/9/2022,Tottenham,Fulham,1458,1406,1055,5576,58,623,613,790,2895,41,31,25,1,110,10,9,2,67
3/9/2022,Wolves,Southampton,392,358,513,1572,20,733,733,890,2983,42,14,14,0,34,5,9,0,53
3/9/2022,Aston Villa,Man City,965,963,1100,3945,52,1542,1591,878,5516,63,17,21,2,89,38,33,1,133
4/9/2022,Brighton,Leicester,282,250,292,871,18,616,664,667,2045,35,10,8,0,23,10,10,2,29
4/9/2022,Man United,Arsenal,1746,1611,861,6038,53,1683,1625,927,5933,78,51,47,0,157,15,23,3,122
16/09/2022,Aston Villa,Southampton,965,963,1100,3945,52,733,733,890,2983,42,21,24,1,97,18,15,0,50
16/09/2022,Nottingham,Fulham,,,,,,623,613,790,2895,41,,,,,,,,
17/09/2022,Wolves,Man City,392,358,513,1572,20,1542,1591,878,5516,63,10,11,0,40,19,27,1,61
17/09/2022,Newcastle,Bournemouth,1026,988,1180,4168,73,181,196,261,610,9,6,5,0,22,6,6,0,18
17/09/2022,Tottenham,Leicester,1458,1406,1055,5576,58,616,664,667,2045,35,23,28,0,64,8,19,2,45
18/09/2022,Brentford,Arsenal,138,144,168,462,9,1683,1625,927,5933,78,9,6,0,9,0,0,0,12
18/09/2022,Everton,West Ham,1226,1147,1146,4676,84,961,980,1115,3762,59,32,33,1,120,26,20,2,84
1/10/2022,Arsenal,Tottenham,1683,1625,927,5933,78,1458,1406,1055,5576,58,57,58,0,173,9,26,6,102
1/10/2022,Bournemouth,Brentford,181,196,261,610,9,138,144,168,462,9,,,,,,,,
1/10/2022,Crystal Palace,Chelsea,483,482,589,1620,17,1750,1634,779,5952,63,6,5,1,24,24,16,1,51
1/10/2022,Fulham,Newcastle,623,613,790,2895,41,1026,988,1180,4168,73,27,22,0,72,12,16,1,68
1/10/2022,Liverpool,Brighton,1697,1625,826,6122,46,282,250,292,871,18,12,13,1,36,6,8,0,30
1/10/2022,Southampton,Everton,733,733,890,2983,42,1226,1147,1146,4676,84,33,26,0,102,12,12,1,53
1/10/2022,West Ham,Wolves,961,980,1115,3762,59,392,358,513,1572,20,15,10,0,38,6,4,0,25
2/10/2022,Man City,Man United,1542,1591,878,5516,63,1746,1611,861,6038,53,35,37,0,133,32,25,4,88
2/10/2022,Leeds,Aston Villa,387,403,507,1515,25,965,963,1100,3945,52,5,5,1,28,17,14,0,54
3/10/2022,Leicester,Nottingham,616,664,667,2045,35,,,,,,,,,,,,,
8/10/2022,Bournemouth,Leicester,181,196,261,610,9,616,664,667,2045,35,8,6,0,14,2,3,1,15
8/10/2022,Chelsea,Wolves,1750,1634,779,5952,63,392,358,513,1572,20,16,20,0,68,4,8,0,30
8/10/2022,Man City,Southampton,1542,1591,878,5516,63,733,733,890,2983,42,31,31,0,107,13,16,0,54
8/10/2022,Newcastle,Brentford,1026,988,1180,4168,73,138,144,168,462,9,3,9,0,27,3,9,0,12
8/10/2022,Brighton,Tottenham,282,250,292,871,18,1458,1406,1055,5576,58,7,6,0,20,13,9,0,41
9/10/2022,Crystal Palace,Leeds,483,482,589,1620,17,387,403,507,1515,25,6,4,0,27,3,1,0,9
9/10/2022,West Ham,Fulham,961,980,1115,3762,59,623,613,790,2895,41,22,21,2,85,7,12,1,57
9/10/2022,Arsenal,Liverpool,1683,1625,927,5933,78,1697,1625,826,6122,46,33,35,3,124,27,31,4,111
9/10/2022,Everton,Man United,1226,1147,1146,4676,84,1746,1611,861,6038,53,27,26,0,113,36,33,2,151
10/10/2022,Nottingham,Aston Villa,,,,,,965,963,1100,3945,52,,,,,,,,
14/10/2022,Brentford,Brighton,138,144,168,462,9,282,250,292,871,18,0,0,0,3,9,3,0,6
15/10/2022,Leicester,Crystal Palace,616,664,667,2045,35,483,482,589,1620,17,18,12,1,28,6,9,0,30
15/10/2022,Fulham,Bournemouth,623,613,790,2895,41,181,196,261,610,9,0,0,1,1,3,3,0,5
15/10/2022,Wolves,Nottingham,392,358,513,1572,20,,,,,,,,,,,,,
15/10/2022,Tottenham,Everton,1458,1406,1055,5576,58,1226,1147,1146,4676,84,46,51,0,158,16,22,1,88
16/10/2022,Aston Villa,Chelsea,965,963,1100,3945,52,1750,1634,779,5952,63,24,22,2,81,30,30,4,139
16/10/2022,Leeds,Arsenal,387,403,507,1515,25,1683,1625,927,5933,78,5,7,0,25,17,21,1,62
16/10/2022,Man United,Newcastle,1746,1611,861,6038,53,1026,988,1180,4168,73,55,60,0,202,7,20,2,98
16/10/2022,Southampton,West Ham,733,733,890,2983,42,961,980,1115,3762,59,17,11,1,69,17,11,5,56
16/10/2022,Liverpool,Man City,1697,1625,826,6122,46,1542,1591,878,5516,63,47,43,1,140,14,29,3,80
18/10/2022,Brighton,Nottingham,282,250,292,871,18,,,,,,,,,,,,,
18/10/2022,Crystal Palace,Wolves,483,482,589,1620,17,392,358,513,1572,20,13,8,0,28,4,2,1,16
19/10/2022,Bournemouth,Southampton,181,196,261,610,9,733,733,890,2983,42,5,4,0,16,5,4,0,17
19/10/2022,Brentford,Chelsea,138,144,168,462,9,1750,1634,779,5952,63,0,0,0,21,9,3,0,3
19/10/2022,Liverpool,West Ham,1697,1625,826,6122,46,961,980,1115,3762,59,51,42,1,152,6,10,3,59
19/10/2022,Newcastle,Everton,1026,988,1180,4168,73,1226,1147,1146,4676,84,36,38,3,153,24,28,2,105
19/10/2022,Man United,Tottenham,1746,1611,861,6038,53,1458,1406,1055,5576,58,56,47,1,183,14,25,1,106
20/10/2022,Fulham,Aston Villa,623,613,790,2895,41,965,963,1100,3945,52,21,17,1,99,15,16,0,61
20/10/2022,Leicester,Leeds,616,664,667,2045,35,387,403,507,1515,25,15,11,0,41,6,6,1,33
22/10/2022,Nottingham,Liverpool,,,,,,1697,1625,826,6122,46,,,,,,,,
22/10/2022,Everton,Crystal Palace,1226,1147,1146,4676,84,483,482,589,1620,17,24,28,0,68,9,17,0,47
22/10/2022,Man City,Brighton,1542,1591,878,5516,63,282,250,292,871,18,21,19,0,42,0,1,0,10
22/10/2022,Chelsea,Man United,1750,1634,779,5952,63,1746,1611,861,6038,53,41,34,2,155,20,24,2,111
23/10/2022,Aston Villa,Brentford,965,963,1100,3945,52,138,144,168,462,9,3,3,0,15,3,3,0,6
23/10/2022,Leeds,Fulham,387,403,507,1515,25,623,613,790,2895,41,9,9,0,29,3,6,0,19
23/10/2022,Southampton,Arsenal,733,733,890,2983,42,1683,1625,927,5933,78,25,21,2,58,16,17,3,87
23/10/2022,Wolves,Leicester,392,358,513,1572,20,616,664,667,2045,35,14,10,0,21,2,6,1,32
23/10/2022,Tottenham,Newcastle,1458,1406,1055,5576,58,1026,988,1180,4168,73,37,41,2,170,25,24,2,84
24/10/2022,West Ham,Bournemouth,961,980,1115,3762,59,181,196,261,610,9,7,10,1,22,7,7,1,22
29/10/2022,Leicester,Man City,616,664,667,2045,35,1542,1591,878,5516,63,5,6,0,30,23,13,0,53
29/10/2022,Bournemouth,Tottenham,181,196,261,610,9,1458,1406,1055,5576,58,1,2,0,7,7,9,0,21
29/10/2022,Brentford,Wolves,138,144,168,462,9,392,358,513,1572,20,0,3,0,3,9,6,0,6
29/10/2022,Brighton,Chelsea,282,250,292,871,18,1750,1634,779,5952,63,4,5,0,17,10,11,0,29
29/10/2022,Crystal Palace,Southampton,483,482,589,1620,17,733,733,890,2983,42,13,14,1,50,19,17,1,51
29/10/2022,Newcastle,Aston Villa,1026,988,1180,4168,73,965,963,1100,3945,52,40,30,4,107,10,11,2,81
29/10/2022,Fulham,Everton,623,613,790,2895,41,1226,1147,1146,4676,84,26,19,2,76,14,15,2,88
29/10/2022,Liverpool,Leeds,1697,1625,826,6122,46,387,403,507,1515,25,19,30,1,78,4,8,0,26
30/10/2022,Arsenal,Nottingham,1683,1625,927,5933,78,,,,,,,,,,,,,
30/10/2022,Man United,West Ham,1746,1611,861,6038,53,961,980,1115,3762,59,47,34,2,149,8,7,0,47
5/11/2022,Leeds,Bournemouth,387,403,507,1515,25,181,196,261,610,9,,,,,,,,
5/11/2022,Man City,Fulham,1542,1591,878,5516,63,623,613,790,2895,41,25,30,0,99,13,14,1,61
5/11/2022,Nottingham,Brentford,,,,,,138,144,168,462,9,,,,,,,,
5/11/2022,Wolves,Brighton,392,358,513,1572,20,282,250,292,871,18,3,2,0,9,9,10,2,30
5/11/2022,Everton,Leicester,1226,1147,1146,4676,84,616,664,667,2045,35,18,21,0,52,9,17,0,37
6/11/2022,Chelsea,Arsenal,1750,1634,779,5952,63,1683,1625,927,5933,78,37,43,3,133,28,34,5,113
6/11/2022,Aston Villa,Man United,965,963,1100,3945,52,1746,1611,861,6038,53,8,15,4,114,44,36,3,139
6/11/2022,Southampton,Newcastle,733,733,890,2983,42,1026,988,1180,4168,73,25,30,1,102,16,16,0,72
6/11/2022,West Ham,Crystal Palace,961,980,1115,3762,59,483,482,589,1620,17,12,18,1,45,15,18,2,33
6/11/2022,Tottenham,Liverpool,1458,1406,1055,5576,58,1697,1625,826,6122,46,34,33,1,127,31,35,5,153
12/11/2022,Man City,Brentford,1542,1591,878,5516,63,138,144,168,462,9,9,6,0,21,0,0,0,6
12/11/2022,Bournemouth,Everton,181,196,261,610,9,1226,1147,1146,4676,84,11,11,1,29,2,7,1,17
12/11/2022,Liverpool,Southampton,1697,1625,826,6122,46,733,733,890,2983,42,39,36,0,119,9,7,1,52
12/11/2022,Nottingham,Crystal Palace,,,,,,483,482,589,1620,17,,,,,,,,
12/11/2022,Tottenham,Leeds,1458,1406,1055,5576,58,387,403,507,1515,25,21,16,1,38,3,7,0,49
12/11/2022,West Ham,Leicester,961,980,1115,3762,59,616,664,667,2045,35,19,23,2,64,13,14,3,38
12/11/2022,Newcastle,Chelsea,1026,988,1180,4168,73,1750,1634,779,5952,63,29,22,2,104,32,31,0,133
12/11/2022,Wolves,Arsenal,392,358,513,1572,20,1683,1625,927,5933,78,3,4,1,43,21,16,5,37
13/11/2022,Brighton,Aston Villa,282,250,292,871,18,965,963,1100,3945,52,2,1,0,14,11,7,0,16
13/11/2022,Fulham,Man United,623,613,790,2895,41,1746,1611,861,6038,53,10,17,0,88,28,27,2,101
26/12/2022,Brentford,Tottenham,138,144,168,462,9,1458,1406,1055,5576,58,3,0,0,6,3,0,0,0
26/12/2022,Crystal Palace,Fulham,483,482,589,1620,17,623,613,790,2895,41,4,3,0,14,4,4,1,15
26/12/2022,Everton,Wolves,1226,1147,1146,4676,84,392,358,513,1572,20,14,10,3,51,11,8,2,32
26/12/2022,Leicester,Newcastle,616,664,667,2045,35,1026,988,1180,4168,73,21,26,0,51,9,8,3,34
26/12/2022,Southampton,Brighton,733,733,890,2983,42,282,250,292,871,18,5,7,0,24,8,8,0,24
26/12/2022,Aston Villa,Liverpool,965,963,1100,3945,52,1697,1625,826,6122,46,10,16,0,98,49,35,0,137
26/12/2022,Arsenal,West Ham,1683,1625,927,5933,78,961,980,1115,3762,59,49,44,1,185,10,12,4,59
27/12/2022,Chelsea,Bournemouth,1750,1634,779,5952,63,181,196,261,610,9,6,5,0,26,9,5,0,16
27/12/2022,Man United,Nottingham,1746,1611,861,6038,53,,,,,,,,,,,,,
28/12/2022,Leeds,Man City,387,403,507,1515,25,1542,1591,878,5516,63,7,7,0,25,13,16,1,47
30/12/2022,West Ham,Brentford,961,980,1115,3762,59,138,144,168,462,9,0,3,0,15,9,6,0,18
30/12/2022,Liverpool,Leicester,1697,1625,826,6122,46,616,664,667,2045,35,34,24,0,104,1,6,0,24
31/12/2022,Wolves,Man United,392,358,513,1572,20,1746,1611,861,6038,53,7,5,1,44,19,13,0,52
31/12/2022,Bournemouth,Crystal Palace,181,196,261,610,9,483,482,589,1620,17,5,4,0,16,5,5,0,12
31/12/2022,Fulham,Southampton,623,613,790,2895,41,733,733,890,2983,42,15,11,0,33,6,9,0,35
31/12/2022,Man City,Everton,1542,1591,878,5516,63,1226,1147,1146,4676,84,43,43,4,159,19,16,3,76
31/12/2022,Newcastle,Leeds,1026,988,1180,4168,73,387,403,507,1515,25,12,10,0,55,9,9,1,51
31/12/2022,Brighton,Arsenal,282,250,292,871,18,1683,1625,927,5933,78,6,2,0,14,6,2,0,16
1/1/2023,Tottenham,Aston Villa,1458,1406,1055,5576,58,965,963,1100,3945,52,44,37,0,166,14,18,2,89
1/1/2023,Nottingham,Chelsea,,,,,,1750,1634,779,5952,63,,,,,,,,
2/1/2023,Brentford,Liverpool,138,144,168,462,9,1697,1625,826,6122,46,3,9,0,12,3,9,0,18
3/1/2023,Arsenal,Newcastle,1683,1625,927,5933,78,1026,988,1180,4168,73,55,51,2,167,7,12,2,64
3/1/2023,Everton,Brighton,1226,1147,1146,4676,84,282,250,292,871,18,12,16,0,36,9,12,1,27
3/1/2023,Leicester,Fulham,616,664,667,2045,35,623,613,790,2895,41,1,1,0,15,7,4,0,11
3/1/2023,Man United,Bournemouth,1746,1611,861,6038,53,181,196,261,610,9,7,5,0,14,1,2,1,8
4/1/2023,Southampton,Nottingham,733,733,890,2983,42,,,,,,,,,,,,,
4/1/2023,Leeds,West Ham,387,403,507,1515,25,961,980,1115,3762,59,6,8,0,46,15,9,1,39
4/1/2023,Aston Villa,Wolves,965,963,1100,3945,52,392,358,513,1572,20,6,11,0,37,15,14,0,30
4/1/2023,Crystal Palace,Tottenham,483,482,589,1620,17,1458,1406,1055,5576,58,16,16,0,45,16,9,3,43
5/1/2023,Chelsea,Man City,1750,1634,779,5952,63,1542,1591,878,5516,63,39,34,3,113,24,19,4,103
12/1/2023,Fulham,Chelsea,623,613,790,2895,41,1750,1634,779,5952,63,8,8,1,51,29,22,2,96
13/01/2023,Aston Villa,Leeds,965,963,1100,3945,52,387,403,507,1515,25,7,12,3,37,13,15,0,45
14/01/2023,Man United,Man City,1746,1611,861,6038,53,1542,1591,878,5516,63,24,26,3,117,33,34,1,111
14/01/2023,Brighton,Liverpool,282,250,292,871,18,1697,1625,826,6122,46,1,2,0,14,13,12,0,35
14/01/2023,Everton,Southampton,1226,1147,1146,4676,84,733,733,890,2983,42,40,29,0,88,4,10,1,57
14/01/2023,Nottingham,Leicester,,,,,,616,664,667,2045,35,,,,,,,,
14/01/2023,Wolves,West Ham,392,358,513,1572,20,961,980,1115,3762,59,13,8,0,43,7,6,0,38
14/01/2023,Brentford,Bournemouth,138,144,168,462,9,181,196,261,610,9,,,,,,,,
15/01/2023,Chelsea,Crystal Palace,1750,1634,779,5952,63,483,482,589,1620,17,30,29,0,93,6,8,0,26
15/01/2023,Newcastle,Fulham,1026,988,1180,4168,73,623,613,790,2895,41,22,16,2,119,13,12,2,65
15/01/2023,Tottenham,Arsenal,1458,1406,1055,5576,58,1683,1625,927,5933,78,39,40,0,140,18,26,5,117
