Date,HomeTeam,AwayTeam,Home team Points,Home team Goal scored,Home team Goal conceded,Home team Shot on target,Home team Red Cards,Away team Points,Away team Goal scored,Away team Goal conceded,Away team Shot on target,Away team Red Cards,Home team Points H2H,Home team Goal scored H2H,Home Team Red Cards H2H,Home Team Shot on Target H2H,Away team Points H2H,Away team Goal scored H2H,Away Team Red Cards H2H,Away Team Shot on Target H2H
18/01/2023,Crystal Palace,Man United,483,482,589,1620,17,1746,1611,861,6038,53,12,7,1,34,15,9,0,46
19/01/2023,Man City,Tottenham,1542,1591,878,5516,63,1458,1406,1055,5576,58,27,40,2,153,36,33,3,103
21/01/2023,Liverpool,Chelsea,1697,1625,826,6122,46,1750,1634,779,5952,63,27,26,0,154,30,26,4,96
21/01/2023,Bournemouth,Nottingham,181,196,261,610,9,,,,,,,,,,,,,
21/01/2023,Leicester,Brighton,616,664,667,2045,35,282,250,292,871,18,9,8,0,25,3,3,0,21
21/01/2023,Southampton,Aston Villa,733,733,890,2983,42,965,963,1100,3945,52,21,24,1,75,15,16,1,55
21/01/2023,West Ham,Everton,961,980,1115,3762,59,1226,1147,1146,4676,84,23,22,3,98,32,27,4,87
21/01/2023,Crystal Palace,Newcastle,483,482,589,1620,17,1026,988,1180,4168,73,9,10,0,42,15,13,0,42
22/01/2023,Leeds,Brentford,387,403,507,1515,25,138,144,168,462,9,3,6,0,18,3,6,0,9
22/01/2023,Man City,Wolves,1542,1591,878,5516,63,392,358,513,1572,20,22,18,1,82,4,10,3,26
22/01/2023,Arsenal,Man United,1683,1625,927,5933,78,1746,1611,861,6038,53,40,37,1,165,22,26,2,111
23/01/2023,Fulham,Tottenham,623,613,790,2895,41,1458,1406,1055,5576,58,18,17,1,99,21,21,1,59
3/2/2023,Chelsea,Fulham,1750,1634,779,5952,63,623,613,790,2895,41,35,27,2,125,5,12,0,57
4/2/2023,Everton,Arsenal,1226,1147,1146,4676,84,1683,1625,927,5933,78,35,30,3,92,29,36,2,127
4/2/2023,Aston Villa,Leicester,965,963,1100,3945,52,616,664,667,2045,35,19,16,1,48,10,15,2,49
4/2/2023,Brentford,Southampton,138,144,168,462,9,733,733,890,2983,42,9,9,0,15,0,0,0,12
4/2/2023,Brighton,Bournemouth,282,250,292,871,18,181,196,261,610,9,4,4,0,12,1,2,0,10
4/2/2023,Man United,Crystal Palace,1746,1611,861,6038,53,483,482,589,1620,17,28,21,0,66,7,7,1,22
4/2/2023,Wolves,Liverpool,392,358,513,1572,20,1697,1625,826,6122,46,2,2,0,26,23,13,0,62
4/2/2023,Newcastle,West Ham,1026,988,1180,4168,73,961,980,1115,3762,59,31,37,0,117,19,26,2,98
5/2/2023,Nottingham,Leeds,,,,,,387,403,507,1515,25,,,,,,,,
5/2/2023,Tottenham,Man City,1458,1406,1055,5576,58,1542,1591,878,5516,63,45,33,1,147,21,25,2,133
8/2/2023,Man United,Leeds,1746,1611,861,6038,53,387,403,507,1515,25,20,28,0,67,2,8,0,27
11/2/2023,West Ham,Chelsea,961,980,1115,3762,59,1750,1634,779,5952,63,26,23,1,97,32,34,2,125
11/2/2023,Arsenal,Brentford,1683,1625,927,5933,78,138,144,168,462,9,9,6,0,24,0,3,0,6
11/2/2023,Crystal Palace,Brighton,483,482,589,1620,17,282,250,292,871,18,8,8,0,22,5,7,1,28
11/2/2023,Fulham,Nottingham,623,613,790,2895,41,,,,,,,,,,,,,
11/2/2023,Leicester,Tottenham,616,664,667,2045,35,1458,1406,1055,5576,58,13,22,0,75,25,31,0,81
11/2/2023,Southampton,Wolves,733,733,890,2983,42,392,358,513,1572,20,3,5,0,36,15,8,0,20
11/2/2023,Bournemouth,Newcastle,181,196,261,610,9,1026,988,1180,4168,73,1,2,0,10,4,3,0,5
12/2/2023,Leeds,Man United,387,403,507,1515,25,1746,1611,861,6038,53,5,11,0,46,17,18,0,58
12/2/2023,Man City,Aston Villa,1542,1591,878,5516,63,965,963,1100,3945,52,54,57,2,151,6,18,1,82
13/02/2023,Liverpool,Everton,1697,1625,826,6122,46,1226,1147,1146,4676,84,51,42,3,173,12,14,4,81
15/02/2023,Arsenal,Man City,1683,1625,927,5933,78,1542,1591,878,5516,63,33,28,5,124,30,27,6,101
18/02/2023,Aston Villa,Arsenal,965,963,1100,3945,52,1683,1625,927,5933,78,9,11,1,76,45,29,1,104
18/02/2023,Brentford,Crystal Palace,138,144,168,462,9,483,482,589,1620,17,3,0,0,6,3,0,0,9
18/02/2023,Brighton,Fulham,282,250,292,871,18,623,613,790,2895,41,2,2,0,10,2,2,0,8
18/02/2023,Chelsea,Southampton,1750,1634,779,5952,63,733,733,890,2983,42,31,33,0,109,13,22,3,56
18/02/2023,Everton,Leeds,1226,1147,1146,4676,84,387,403,507,1515,25,17,17,0,63,5,3,1,19
18/02/2023,Nottingham,Man City,,,,,,1542,1591,878,5516,63,,,,,,,,
18/02/2023,Wolves,Bournemouth,392,358,513,1572,20,181,196,261,610,9,,,,,,,,
18/02/2023,Newcastle,Liverpool,1026,988,1180,4168,73,1697,1625,826,6122,46,28,20,3,74,28,29,2,129
19/02/2023,Man United,Leicester,1746,1611,861,6038,53,616,664,667,2045,35,28,22,0,79,7,9,1,41
19/02/2023,Tottenham,West Ham,1458,1406,1055,5576,58,961,980,1115,3762,59,42,39,0,141,9,20,3,65
24/02/2023,Fulham,Wolves,623,613,790,2895,41,392,358,513,1572,20,8,7,0,36,5,2,1,15
25/02/2023,Everton,Aston Villa,1226,1147,1146,4676,84,965,963,1100,3945,52,27,34,1,121,27,26,1,91
25/02/2023,Leeds,Southampton,387,403,507,1515,25,733,733,890,2983,42,14,11,0,46,5,4,1,43
25/02/2023,Leicester,Arsenal,616,664,667,2045,35,1683,1625,927,5933,78,10,11,1,58,22,20,2,66
25/02/2023,West Ham,Nottingham,961,980,1115,3762,59,,,,,,,,,,,,,
25/02/2023,Bournemouth,Man City,181,196,261,610,9,1542,1591,878,5516,63,0,2,0,13,12,11,1,25
25/02/2023,Crystal Palace,Liverpool,483,482,589,1620,17,1697,1625,826,6122,46,7,15,1,53,28,32,1,77
26/02/2023,Tottenham,Chelsea,1458,1406,1055,5576,58,1750,1634,779,5952,63,24,27,3,126,42,42,4,148
1/3/2023,Arsenal,Everton,1683,1625,927,5933,78,1226,1147,1146,4676,84,58,61,2,166,7,19,3,80
1/3/2023,Liverpool,Wolves,1697,1625,826,6122,46,392,358,513,1572,20,24,19,0,58,3,5,1,37
4/3/2023,Man City,Newcastle,1542,1591,878,5516,63,1026,988,1180,4168,73,53,57,0,164,5,9,1,70
4/3/2023,Arsenal,Bournemouth,1683,1625,927,5933,78,181,196,261,610,9,12,9,0,19,0,1,0,9
4/3/2023,Aston Villa,Crystal Palace,965,963,1100,3945,52,483,482,589,1620,17,11,8,1,37,8,5,0,34
4/3/2023,Brighton,West Ham,282,250,292,871,18,961,980,1115,3762,59,17,15,0,36,2,6,0,17
4/3/2023,Chelsea,Leeds,1750,1634,779,5952,63,387,403,507,1515,25,22,19,0,55,1,10,0,30
4/3/2023,Wolves,Tottenham,392,358,513,1572,20,1458,1406,1055,5576,58,5,8,1,60,23,16,0,71
4/3/2023,Southampton,Leicester,733,733,890,2983,42,616,664,667,2045,35,16,19,3,79,16,26,0,82
5/3/2023,Nottingham,Everton,,,,,,1226,1147,1146,4676,84,,,,,,,,
5/3/2023,Liverpool,Man United,1697,1625,826,6122,46,1746,1611,861,6038,53,35,32,4,128,29,16,4,67
6/3/2023,Brentford,Fulham,138,144,168,462,9,623,613,790,2895,41,,,,,,,,
11/3/2023,Bournemouth,Liverpool,181,196,261,610,9,1697,1625,826,6122,46,3,5,0,17,12,16,0,29
11/3/2023,Everton,Brentford,1226,1147,1146,4676,84,138,144,168,462,9,0,6,6,15,9,9,0,21
11/3/2023,Leeds,Brighton,387,403,507,1515,25,282,250,292,871,18,3,3,0,17,6,4,0,20
11/3/2023,Leicester,Chelsea,616,664,667,2045,35,1750,1634,779,5952,63,10,12,0,47,25,28,0,62
11/3/2023,Tottenham,Nottingham,1458,1406,1055,5576,58,,,,,,,,,,,,,
11/3/2023,Crystal Palace,Man City,483,482,589,1620,17,1542,1591,878,5516,63,7,4,0,20,22,12,0,60
12/3/2023,Fulham,Arsenal,623,613,790,2895,41,1683,1625,927,5933,78,10,10,2,76,34,32,3,91
12/3/2023,Man United,Southampton,1746,1611,861,6038,53,733,733,890,2983,42,29,36,0,103,11,11,2,61
12/3/2023,West Ham,Aston Villa,961,980,1115,3762,59,965,963,1100,3945,52,31,25,0,98,13,15,2,100
12/3/2023,Newcastle,Wolves,1026,988,1180,4168,73,392,358,513,1572,20,16,13,2,54,7,8,0,43
15/03/2023,Brighton,Crystal Palace,282,250,292,871,18,483,482,589,1620,17,7,7,1,24,7,6,0,14
15/03/2023,Southampton,Brentford,733,733,890,2983,42,138,144,168,462,9,9,12,0,18,0,3,0,12
17/03/2023,Nottingham,Newcastle,,,,,,1026,988,1180,4168,73,,,,,,,,
18/03/2023,Aston Villa,Bournemouth,965,963,1100,3945,52,181,196,261,610,9,0,2,0,8,6,4,0,7
18/03/2023,Brentford,Leicester,138,144,168,462,9,616,664,667,2045,35,0,3,0,15,9,6,0,18
18/03/2023,Southampton,Tottenham,733,733,890,2983,42,1458,1406,1055,5576,58,23,19,4,73,20,22,0,98
18/03/2023,Wolves,Leeds,392,358,513,1572,20,387,403,507,1515,25,6,10,3,33,9,10,1,29
18/03/2023,Chelsea,Everton,1750,1634,779,5952,63,1226,1147,1146,4676,84,47,41,0,179,11,16,2,78
19/03/2023,Arsenal,Crystal Palace,1683,1625,927,5933,78,483,482,589,1620,17,21,24,0,75,6,12,1,42
1/4/2023,Man City,Liverpool,1542,1591,878,5516,63,1697,1625,826,6122,46,29,33,2,91,23,26,1,116
1/4/2023,Arsenal,Leeds,1683,1625,927,5933,78,387,403,507,1515,25,18,20,0,66,6,11,5,24
1/4/2023,Bournemouth,Fulham,181,196,261,610,9,623,613,790,2895,41,,,,,,,,
1/4/2023,Brighton,Brentford,282,250,292,871,18,138,144,168,462,9,9,6,0,15,0,0,0,18
1/4/2023,Crystal Palace,Leicester,483,482,589,1620,17,616,664,667,2045,35,11,16,0,39,11,12,1,30
1/4/2023,Nottingham,Wolves,,,,,,392,358,513,1572,20,,,,,,,,
1/4/2023,Chelsea,Aston Villa,1750,1634,779,5952,63,965,963,1100,3945,52,49,53,2,154,10,19,1,96
2/4/2023,West Ham,Southampton,961,980,1115,3762,59,733,733,890,2983,42,21,27,0,75,18,19,1,62
2/4/2023,Newcastle,Man United,1026,988,1180,4168,73,1746,1611,861,6038,53,19,25,0,115,37,44,1,142
3/4/2023,Everton,Tottenham,1226,1147,1146,4676,84,1458,1406,1055,5576,58,26,19,3,122,29,21,4,92
4/4/2023,Bournemouth,Brighton,181,196,261,610,9,282,250,292,871,18,6,5,0,6,0,2,0,10
4/4/2023,Leeds,Nottingham,387,403,507,1515,25,,,,,,,,,,,,,
4/4/2023,Leicester,Aston Villa,616,664,667,2045,35,965,963,1100,3945,52,11,6,1,40,11,10,1,42
4/4/2023,Chelsea,Liverpool,1750,1634,779,5952,63,1697,1625,826,6122,46,34,31,2,110,31,25,3,105
5/4/2023,Man United,Brentford,1746,1611,861,6038,53,138,144,168,462,9,9,9,0,15,0,0,0,12
5/4/2023,West Ham,Newcastle,961,980,1115,3762,59,1026,988,1180,4168,73,21,25,0,88,27,27,1,96
8/4/2023,Man United,Everton,1746,1611,861,6038,53,1226,1147,1146,4676,84,51,45,0,181,12,20,2,91
8/4/2023,Aston Villa,Nottingham,965,963,1100,3945,52,,,,,,,,,,,,,
8/4/2023,Brentford,Newcastle,138,144,168,462,9,1026,988,1180,4168,73,0,0,3,3,9,6,0,33
8/4/2023,Fulham,West Ham,623,613,790,2895,41,961,980,1115,3762,59,11,11,3,65,20,14,3,49
8/4/2023,Leicester,Bournemouth,616,664,667,2045,35,181,196,261,610,9,6,5,0,16,3,3,1,9
8/4/2023,Tottenham,Brighton,1458,1406,1055,5576,58,282,250,292,871,18,9,6,0,16,9,5,0,26
8/4/2023,Wolves,Chelsea,392,358,513,1572,20,1750,1634,779,5952,63,12,8,0,31,15,16,0,43
8/4/2023,Southampton,Man City,733,733,890,2983,42,1542,1591,878,5516,63,14,13,1,73,23,19,1,73
9/4/2023,Leeds,Crystal Palace,387,403,507,1515,25,483,482,589,1620,17,12,5,0,16,0,0,0,6
9/4/2023,Liverpool,Arsenal,1697,1625,826,6122,46,1683,1625,927,5933,78,42,58,2,177,21,29,2,105
15/04/2023,Aston Villa,Newcastle,965,963,1100,3945,52,1026,988,1180,4168,73,36,28,0,89,18,13,4,90
15/04/2023,Chelsea,Brighton,1750,1634,779,5952,63,282,250,292,871,18,10,7,0,37,4,3,1,22
15/04/2023,Everton,Fulham,1226,1147,1146,4676,84,623,613,790,2895,41,42,35,1,111,3,9,0,75
15/04/2023,Southampton,Crystal Palace,733,733,890,2983,42,483,482,589,1620,17,17,20,0,51,14,14,0,43
15/04/2023,Tottenham,Bournemouth,1458,1406,1055,5576,58,181,196,261,610,9,12,11,0,33,0,2,0,8
15/04/2023,Wolves,Brentford,392,358,513,1572,20,138,144,168,462,9,0,0,0,0,9,6,3,9
15/04/2023,Man City,Leicester,1542,1591,878,5516,63,616,664,667,2045,35,21,33,0,80,12,24,0,53
16/04/2023,West Ham,Arsenal,961,980,1115,3762,59,1683,1625,927,5933,78,10,21,2,78,43,41,0,147
16/04/2023,Nottingham,Man United,,,,,,1746,1611,861,6038,53,,,,,,,,
17/04/2023,Leeds,Liverpool,387,403,507,1515,25,1697,1625,826,6122,46,5,7,3,40,17,20,0,68
21/04/2023,Arsenal,Southampton,1683,1625,927,5933,78,733,733,890,2983,42,38,38,2,112,5,11,1,73
22/04/2023,Fulham,Leeds,623,613,790,2895,41,387,403,507,1515,25,7,4,0,24,4,2,0,19
22/04/2023,Brentford,Aston Villa,138,144,168,462,9,965,963,1100,3945,52,9,6,0,12,0,3,0,15
22/04/2023,Crystal Palace,Everton,483,482,589,1620,17,1226,1147,1146,4676,84,13,13,0,50,16,12,3,55
22/04/2023,Leicester,Wolves,616,664,667,2045,35,392,358,513,1572,20,17,6,1,27,2,0,0,19
22/04/2023,Liverpool,Nottingham,1697,1625,826,6122,46,,,,,,,,,,,,,
23/04/2023,Bournemouth,West Ham,181,196,261,610,9,961,980,1115,3762,59,5,9,0,28,5,10,0,23
23/04/2023,Newcastle,Tottenham,1026,988,1180,4168,73,1458,1406,1055,5576,58,30,39,5,118,30,35,1,116
25/04/2023,Wolves,Crystal Palace,392,358,513,1572,20,483,482,589,1620,17,3,2,0,20,9,6,1,26
25/04/2023,Aston Villa,Fulham,965,963,1100,3945,52,623,613,790,2895,41,29,23,0,72,8,9,1,54
25/04/2023,Leeds,Leicester,387,403,507,1515,25,616,664,667,2045,35,10,12,1,47,7,12,0,35
26/04/2023,Nottingham,Brighton,,,,,,282,250,292,871,18,,,,,,,,
26/04/2023,Chelsea,Brentford,1750,1634,779,5952,63,138,144,168,462,9,0,3,0,24,9,12,0,18
26/04/2023,West Ham,Liverpool,961,980,1115,3762,59,1697,1625,826,6122,46,23,29,1,91,35,41,1,134
26/04/2023,Man City,Arsenal,1542,1591,878,5516,63,1683,1625,927,5933,78,35,43,1,139,26,33,3,110
27/04/2023,Everton,Newcastle,1226,1147,1146,4676,84,1026,988,1180,4168,73,45,38,4,139,15,21,4,103
27/04/2023,Southampton,Bournemouth,733,733,890,2983,42,181,196,261,610,9,7,5,1,18,4,4,0,15
27/04/2023,Tottenham,Man United,1458,1406,1055,5576,58,1746,1611,861,6038,53,18,22,0,121,42,40,2,134
29/04/2023,Crystal Palace,West Ham,483,482,589,1620,17,961,980,1115,3762,59,7,15,1,47,22,22,1,44
29/04/2023,Brentford,Nottingham,138,144,168,462,9,,,,,,,,,,,,,
29/04/2023,Brighton,Wolves,282,250,292,871,18,392,358,513,1572,20,5,6,0,15,11,8,0,31
30/04/2023,Bournemouth,Leeds,181,196,261,610,9,387,403,507,1515,25,,,,,,,,
30/04/2023,Fulham,Man City,623,613,790,2895,41,1542,1591,878,5516,63,8,17,0,71,26,29,0,93
30/04/2023,Man United,Aston Villa,1746,1611,861,6038,53,965,963,1100,3945,52,47,44,0,166,14,15,0,79
30/04/2023,Newcastle,Southampton,1026,988,1180,4168,73,733,733,890,2983,42,30,31,1,101,9,20,0,67
30/04/2023,Liverpool,Tottenham,1697,1625,826,6122,46,1458,1406,1055,5576,58,48,41,0,157,12,21,1,102
1/5/2023,Leicester,Everton,616,664,667,2045,35,1226,1147,1146,4676,84,13,15,1,68,22,18,1,51
2/5/2023,Arsenal,Chelsea,1683,1625,927,5933,78,1750,1634,779,5952,63,28,26,1,114,34,32,1,117
3/5/2023,Liverpool,Fulham,1697,1625,826,6122,46,623,613,790,2895,41,31,27,0,136,10,4,0,63
3/5/2023,Man City,West Ham,1542,1591,878,5516,63,961,980,1115,3762,59,49,36,0,156,7,14,1,64
4/5/2023,Brighton,Man United,282,250,292,871,18,1746,1611,861,6038,53,15,18,0,30,3,5,0,24
6/5/2023,Bournemouth,Chelsea,181,196,261,610,9,1750,1634,779,5952,63,0,2,0,6,9,8,0,14
6/5/2023,Man City,Leeds,1542,1591,878,5516,63,387,403,507,1515,25,13,25,0,71,7,8,1,24
6/5/2023,Tottenham,Crystal Palace,1458,1406,1055,5576,58,483,482,589,1620,17,29,23,0,62,2,2,3,29
6/5/2023,Wolves,Aston Villa,392,358,513,1572,20,965,963,1100,3945,52,13,12,1,53,13,15,0,49
6/5/2023,Liverpool,Brentford,1697,1625,826,6122,46,138,144,168,462,9,9,9,0,39,0,0,0,3
7/5/2023,Newcastle,Arsenal,1026,988,1180,4168,73,1683,1625,927,5933,78,22,18,3,85,37,23,3,97
7/5/2023,West Ham,Man United,961,980,1115,3762,59,1746,1611,861,6038,53,20,27,1,86,38,39,1,147
8/5/2023,Fulham,Leicester,623,613,790,2895,41,616,664,667,2045,35,5,3,0,18,5,3,0,16
8/5/2023,Brighton,Everton,282,250,292,871,18,1226,1147,1146,4676,84,5,4,0,19,11,9,0,28
8/5/2023,Nottingham,Southampton,,,,,,733,733,890,2983,42,,,,,,,,
13/05/2023,Leeds,Newcastle,387,403,507,1515,25,1026,988,1180,4168,73,4,11,0,41,19,17,0,43
13/05/2023,Aston Villa,Tottenham,965,963,1100,3945,52,1458,1406,1055,5576,58,17,16,1,106,41,38,3,150
13/05/2023,Chelsea,Nottingham,1750,1634,779,5952,63,,,,,,,,,,,,,
13/05/2023,Crystal Palace,Bournemouth,483,482,589,1620,17,181,196,261,610,9,5,5,1,18,5,5,0,15
13/05/2023,Man United,Wolves,1746,1611,861,6038,53,392,358,513,1572,20,17,12,0,62,11,6,0,51
13/05/2023,Southampton,Fulham,733,733,890,2983,42,623,613,790,2895,41,13,15,0,44,4,9,0,29
14/05/2023,Brentford,West Ham,138,144,168,462,9,961,980,1115,3762,59,9,6,0,21,0,0,0,3
14/05/2023,Everton,Man City,1226,1147,1146,4676,84,1542,1591,878,5516,63,31,28,2,96,31,26,3,138
14/05/2023,Arsenal,Brighton,1683,1625,927,5933,78,282,250,292,871,18,6,8,0,34,12,8,0,20
15/05/2023,Leicester,Liverpool,616,664,667,2045,35,1697,1625,826,6122,46,22,18,1,57,16,18,0,65
18/05/2023,Newcastle,Brighton,1026,988,1180,4168,73,282,250,292,871,18,11,6,0,24,8,7,1,26
20/05/2023,Tottenham,Brentford,1458,1406,1055,5576,58,138,144,168,462,9,9,6,0,18,0,0,0,6
20/05/2023,Bournemouth,Man United,181,196,261,610,9,1746,1611,861,6038,53,6,5,0,23,9,8,0,28
20/05/2023,Fulham,Crystal Palace,623,613,790,2895,41,483,482,589,1620,17,4,6,1,20,7,7,0,28
20/05/2023,Liverpool,Aston Villa,1697,1625,826,6122,46,965,963,1100,3945,52,40,37,1,150,16,23,1,63
20/05/2023,Wolves,Everton,392,358,513,1572,20,1226,1147,1146,4676,84,15,11,0,40,9,11,1,58
20/05/2023,Nottingham,Arsenal,,,,,,1683,1625,927,5933,78,,,,,,,,
21/05/2023,West Ham,Leeds,961,980,1115,3762,59,387,403,507,1515,25,4,11,0,42,16,15,1,36
21/05/2023,Brighton,Southampton,282,250,292,871,18,733,733,890,2983,42,4,8,1,24,10,11,0,23
21/05/2023,Man City,Chelsea,1542,1591,878,5516,63,1750,1634,779,5952,63,34,22,3,116,31,23,1,77
22/05/2023,Newcastle,Leicester,1026,988,1180,4168,73,616,664,667,2045,35,21,15,0,58,15,17,0,46
24/05/2023,Brighton,Man City,282,250,292,871,18,1542,1591,878,5516,63,3,6,0,23,12,16,1,50
25/05/2023,Man United,Chelsea,1746,1611,861,6038,53,1750,1634,779,5952,63,37,32,1,124,22,22,3,128
28/05/2023,Arsenal,Wolves,1683,1625,927,5933,78,392,358,513,1572,20,21,16,0,72,6,8,2,31
28/05/2023,Aston Villa,Brighton,965,963,1100,3945,52,282,250,292,871,18,12,9,0,27,3,3,2,14
28/05/2023,Brentford,Man City,138,144,168,462,9,1542,1591,878,5516,63,0,0,0,6,9,3,0,9
28/05/2023,Chelsea,Newcastle,1750,1634,779,5952,63,1026,988,1180,4168,73,54,45,1,138,6,9,1,65
28/05/2023,Crystal Palace,Nottingham,483,482,589,1620,17,,,,,,,,,,,,,
28/05/2023,Everton,Bournemouth,1226,1147,1146,4676,84,181,196,261,610,9,9,10,0,19,0,5,0,14
28/05/2023,Leeds,Tottenham,387,403,507,1515,25,1458,1406,1055,5576,58,10,11,0,37,13,20,0,55
28/05/2023,Leicester,West Ham,616,664,667,2045,35,961,980,1115,3762,59,18,19,2,46,12,18,1,46
28/05/2023,Man United,Fulham,1746,1611,861,6038,53,623,613,790,2895,41,38,38,0,163,5,14,1,79
28/05/2023,Southampton,Liverpool,733,733,890,2983,42,1697,1625,826,6122,46,20,20,0,68,26,22,0,81
